,model_id,var_names,sage_value_unadjusted,sage_sd,perf_metric
1,23,race,-0.0006377907860469984,0.0006040462234300657,1.0350861364012567
2,23,prior,0.01694060924483412,0.0013315235344109463,1.0350861364012567
3,23,gender,-0.005968021146684404,0.0005119814663866883,1.0350861364012567
4,23,juvenilecrime,0.020772460820245354,0.0011373411710120821,1.0350861364012567
5,23,currentcharge,-0.0021438569359984176,0.00028839078324929856,1.0350861364012567
0,24,age,0.003361501105253088,0.0006216379091956878,1.0103128005790254
1,24,race,0.0005608121290322264,0.0004963990704948448,1.0103128005790254
2,24,prior,0.01396029742270544,0.0011596415572893237,1.0103128005790254
3,24,gender,-0.0013394107330991138,0.0004569312363151388,1.0103128005790254
4,24,juvenilecrime,0.013501566005181695,0.0005115322461807394,1.0103128005790254
5,24,currentcharge,-0.009279910425107217,0.0007854468317681124,1.0103128005790254
0,25,age,0.0022063247960806207,0.0003128261987425904,1.027982046501584
1,25,race,0.000653852160313579,0.0006051162447133612,1.027982046501584
2,25,prior,0.013904151464075979,0.0013898615581674199,1.027982046501584
3,25,gender,-0.021375806130353756,0.0017550132509181313,1.027982046501584
4,25,juvenilecrime,0.012383153684799997,0.0005909961780026713,1.027982046501584
5,25,currentcharge,-0.0017136584920497552,0.00043312674263807445,1.027982046501584
0,26,age,0.0015178048210587659,0.0008844817159749475,1.0311146267265694
1,26,race,-0.00265362346364565,0.0009868068718581046,1.0311146267265694
2,26,prior,0.009978020333652284,0.000558914684967633,1.0311146267265694
3,26,gender,-0.01719486961476913,0.0015931250048339264,1.0311146267265694
4,26,juvenilecrime,0.014738840680732664,0.0006568389240358638,1.0311146267265694
5,26,currentcharge,0.0004077316171419084,0.00010766492546042079,1.0311146267265694
0,27,age,0.002957738068539789,0.0005211001242006347,1.036694974382269
1,27,race,-0.021787019458905165,0.0018782691422341497,1.036694974382269
2,27,prior,0.00998652066279816,0.0005703864637168885,1.036694974382269
3,27,gender,-0.004167417432751455,0.0008063654816894486,1.036694974382269
4,27,juvenilecrime,0.015810078293946487,0.0008667480240820339,1.036694974382269
5,27,currentcharge,0.0001011516201550794,0.0003140220157459344,1.036694974382269
0,28,age,0.002397712104742018,0.0014093519106421256,1.045191900152971
1,28,race,0.0017271212159541676,0.0004950245883610682,1.045191900152971
2,28,prior,0.01320102517621597,0.0014414896355268213,1.045191900152971
3,28,gender,0.0017922611619971723,0.000759856315439521,1.045191900152971
4,28,juvenilecrime,0.02404768079522731,0.0017191005730193185,1.045191900152971
5,28,currentcharge,-0.012530888801788332,0.0017727194659394145,1.045191900152971
0,29,age,0.0008473631615718961,0.0006963934080815386,1.0389972317959602
1,29,race,-0.013904857436212174,0.0015466770652194746,1.0389972317959602
2,29,prior,0.012142321641190626,0.0008825619620358771,1.0389972317959602
3,29,gender,0.0006846786743269901,0.00023924217337582292,1.0389972317959602
4,29,juvenilecrime,0.017059027737832747,0.00137266618084806,1.0389972317959602
5,29,currentcharge,-0.0011505570372529184,0.0003840912125938605,1.0389972317959602
0,30,age,0.0015626309066856879,0.0005738435461674292,1.0023243926743368
1,30,race,0.0003868040275863411,0.00043386708773733817,1.0023243926743368
2,30,prior,0.01692838289968314,0.0008405315757938844,1.0023243926743368
3,30,gender,0.00031486930407131496,0.0002746030861525412,1.0023243926743368
4,30,juvenilecrime,0.014491925090460855,0.0003958401618455431,1.0023243926743368
5,30,currentcharge,6.349984800904945e-05,0.00010016721180086385,1.0023243926743368
0,31,age,-0.00023093399820462717,0.00035692422792618595,1.0436945948055452
1,31,race,-0.003166033892652496,0.00025872155193210235,1.0436945948055452
2,31,prior,-0.0029191558928642323,0.0007396309014071515,1.0436945948055452
